id_client,first_day,last_day,frequency,interval,recency,monetary,R_rank,F_rank,M_rank,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,segment
Unknown,2020-12-01 11:52:00,2021-12-09 10:26:00,3538,372,21,1755276.64,4322.5,4340.0,4340.0,100.0,100.0,100.0,5.0,Top
14646,2020-12-20 10:09:00,2021-12-08 12:12:00,74,353,22,280206.02,4253.0,4332.0,4339.0,98.39,99.82,99.98,4.98,Top
18102,2020-12-07 16:42:00,2021-12-09 11:50:00,60,366,21,259657.3,4322.5,4329.0,4338.0,100.0,99.75,99.95,4.99,Top
17450,2020-12-07 09:23:00,2021-12-01 13:29:00,46,359,29,194550.79,3764.0,4320.0,4337.0,87.08,99.54,99.93,4.89,Top
16446,2021-05-18 09:52:00,2021-12-09 09:15:00,2,204,21,168472.5,4322.5,1910.5,4336.0,100.0,44.02,99.91,4.16,High value
14911,2020-12-01 14:05:00,2021-12-08 15:54:00,202,372,22,143825.06,4253.0,4338.0,4335.0,98.39,99.95,99.88,4.98,Top
12415,2021-01-06 11:12:00,2021-11-15 14:22:00,21,313,45,124914.53,2922.5,4249.5,4334.0,67.61,97.91,99.86,4.72,Top
14156,2020-12-03 11:48:00,2021-11-30 10:54:00,55,361,30,117379.63,3689.0,4326.5,4333.0,85.34,99.69,99.84,4.88,Top
17511,2020-12-01 10:19:00,2021-12-07 10:12:00,32,370,23,91062.38,4156.5,4301.5,4332.0,96.16,99.11,99.82,4.95,Top
16029,2020-12-01 09:57:00,2021-11-01 10:27:00,63,335,59,81024.84,2443.0,4331.0,4331.0,56.52,99.79,99.79,4.67,Top
12346,2021-01-18 10:01:00,2021-01-18 10:01:00,1,0,346,77183.6,162.5,746.5,4330.0,3.76,17.2,99.77,3.03,Medium Value
16684,2020-12-16 17:34:00,2021-12-05 14:06:00,28,353,25,66653.56,3970.5,4289.0,4329.0,91.86,98.82,99.75,4.91,Top
14096,2021-08-30 10:49:00,2021-12-05 17:17:00,17,97,25,65164.79,3970.5,4197.5,4328.0,91.86,96.72,99.72,4.88,Top
13694,2020-12-01 12:12:00,2021-12-06 09:32:00,50,369,24,65039.62,4064.5,4324.0,4327.0,94.03,99.63,99.7,4.94,Top
15311,2020-12-01 09:41:00,2021-12-09 12:00:00,91,373,21,60767.9,4322.5,4334.0,4326.0,100.0,99.86,99.68,4.99,Top
13089,2020-12-05 10:27:00,2021-12-07 09:02:00,97,366,23,58825.83,4156.5,4336.0,4325.0,96.16,99.91,99.65,4.96,Top
17949,2020-12-03 13:12:00,2021-12-08 18:46:00,45,370,22,58510.48,4253.0,4319.0,4324.0,98.39,99.52,99.63,4.97,Top
15769,2020-12-03 15:16:00,2021-12-02 13:52:00,26,363,28,56252.72,3839.5,4280.0,4323.0,88.83,98.62,99.61,4.88,Top
15061,2020-12-02 15:19:00,2021-12-06 12:06:00,48,368,24,54534.14,4064.5,4323.0,4322.0,94.03,99.61,99.59,4.94,Top
14298,2020-12-14 12:59:00,2021-12-01 13:12:00,44,352,29,51527.3,3764.0,4318.0,4321.0,87.08,99.49,99.56,4.88,Top
14088,2021-01-21 13:07:00,2021-11-29 16:16:00,13,312,31,50491.81,3615.0,4114.5,4320.0,83.63,94.8,99.54,4.79,Top
15749,2021-01-11 12:55:00,2021-04-18 13:20:00,3,97,256,44534.3,581.5,2581.5,4319.0,13.45,59.48,99.52,3.73,Medium Value
12931,2020-12-17 09:45:00,2021-11-18 12:39:00,15,336,42,42055.96,3096.5,4162.5,4318.0,71.64,95.91,99.49,4.71,Top
17841,2020-12-01 14:41:00,2021-12-08 12:07:00,124,371,22,40991.57,4253.0,4337.0,4317.0,98.39,99.93,99.47,4.97,Top
15098,2021-06-10 15:22:00,2021-06-10 15:33:00,3,0,203,39916.5,855.5,2581.5,4316.0,19.79,59.48,99.45,3.78,Medium Value
13798,2020-12-02 17:24:00,2021-12-08 15:51:00,57,370,22,37153.85,4253.0,4328.0,4315.0,98.39,99.72,99.42,4.97,Top
16013,2020-12-03 13:09:00,2021-12-06 10:36:00,47,367,24,37130.6,4064.5,4321.5,4314.0,94.03,99.57,99.4,4.93,Top
16422,2020-12-05 15:35:00,2021-11-22 14:00:00,51,351,38,34684.4,3272.5,4325.0,4313.0,75.71,99.65,99.38,4.8,Top
12748,2020-12-01 12:48:00,2021-12-09 12:20:00,211,372,21,33719.73,4322.5,4339.0,4312.0,100.0,99.98,99.35,4.98,Top
15838,2020-12-07 11:26:00,2021-11-28 14:00:00,19,356,32,33643.08,3545.0,4226.5,4311.0,82.01,97.38,99.33,4.81,Top
17404,2020-12-14 13:28:00,2021-12-05 16:26:00,15,356,25,31906.82,3970.5,4162.5,4310.0,91.86,95.91,99.31,4.86,Top
17389,2021-01-12 15:48:00,2021-12-09 09:38:00,34,330,21,31833.68,4322.5,4307.0,4309.0,100.0,99.24,99.29,4.97,Top
13098,2021-01-26 13:46:00,2021-12-08 14:14:00,28,316,22,28882.44,4253.0,4289.0,4308.0,98.39,98.82,99.26,4.95,Top
14680,2020-12-03 12:05:00,2021-11-14 16:59:00,16,346,46,28754.11,2874.5,4182.5,4307.0,66.5,96.37,99.24,4.67,Top
13081,2020-12-03 17:20:00,2021-11-28 10:54:00,11,359,32,28337.38,3545.0,4027.5,4306.0,82.01,92.8,99.22,4.74,Top
13408,2020-12-01 10:39:00,2021-12-08 09:05:00,62,371,22,28117.04,4253.0,4330.0,4305.0,98.39,99.77,99.19,4.96,Top
17857,2020-12-09 11:35:00,2021-12-05 13:13:00,23,361,25,26879.04,3970.5,4263.0,4304.0,91.86,98.23,99.17,4.89,Top
16333,2021-02-03 10:50:00,2021-12-02 12:19:00,22,302,28,26626.8,3839.5,4257.5,4303.0,88.83,98.1,99.15,4.86,Top
13777,2020-12-01 16:01:00,2021-12-09 12:25:00,33,372,21,25977.16,4322.5,4304.5,4302.0,100.0,99.18,99.12,4.96,Top
12753,2020-12-12 11:44:00,2021-11-17 10:52:00,6,339,43,21429.39,3037.5,3552.5,4301.0,70.27,81.85,99.1,4.48,High value
12744,2021-01-25 13:26:00,2021-10-19 11:18:00,7,266,72,21279.29,2148.5,3709.5,4300.0,49.71,85.47,99.08,4.38,High value
16210,2020-12-01 12:27:00,2021-12-08 12:36:00,18,372,22,21086.3,4253.0,4213.5,4299.0,98.39,97.09,99.06,4.92,Top
17675,2020-12-07 13:22:00,2021-12-08 18:03:00,31,366,22,20374.28,4253.0,4298.5,4298.0,98.39,99.04,99.03,4.95,Top
17381,2020-12-02 12:58:00,2021-12-01 11:59:00,29,363,29,20275.61,3764.0,4292.5,4297.0,87.08,98.91,99.01,4.86,Top
15039,2020-12-06 11:26:00,2021-11-30 11:31:00,47,359,30,19914.44,3689.0,4321.5,4296.0,85.34,99.57,98.99,4.86,Top
12471,2020-12-10 09:35:00,2021-12-07 15:43:00,30,362,23,19824.05,4156.5,4295.5,4295.0,96.16,98.97,98.96,4.93,Top
12731,2020-12-10 10:56:00,2021-11-16 11:59:00,12,341,44,18895.91,2976.5,4077.0,4294.0,68.86,93.94,98.94,4.65,Top
15159,2020-12-13 15:44:00,2021-12-08 12:05:00,30,359,22,18641.01,4253.0,4295.5,4293.0,98.39,98.97,98.92,4.94,Top
12901,2021-03-14 10:41:00,2021-12-01 10:07:00,28,261,29,17654.54,3764.0,4289.0,4292.0,87.08,98.82,98.89,4.86,Top
12678,2020-12-21 11:00:00,2021-10-28 13:04:00,12,311,63,17628.46,2357.0,4077.0,4291.0,54.53,93.94,98.87,4.54,Top
14031,2020-12-02 16:34:00,2021-12-02 17:13:00,19,365,28,17286.86,3839.5,4226.5,4290.0,88.83,97.38,98.85,4.85,Top
17428,2020-12-06 09:37:00,2021-12-09 09:45:00,28,368,21,17256.85,4322.5,4289.0,4289.0,100.0,98.82,98.82,4.95,Top
13767,2020-12-01 10:47:00,2021-12-07 15:00:00,37,371,23,17220.36,4156.5,4310.5,4288.0,96.16,99.32,98.8,4.93,Top
