id_client,first_day,last_day,frequency,interval,recency,monetary
Unknown,2020-12-01 11:52:00,2021-12-09 10:26:00,3538,372,21,1755276.6400000001
14646,2020-12-20 10:09:00,2021-12-08 12:12:00,74,353,22,280206.02
18102,2020-12-07 16:42:00,2021-12-09 11:50:00,60,366,21,259657.3
17450,2020-12-07 09:23:00,2021-12-01 13:29:00,46,359,29,194550.79
16446,2021-05-18 09:52:00,2021-12-09 09:15:00,2,204,21,168472.5
14911,2020-12-01 14:05:00,2021-12-08 15:54:00,202,372,22,143825.06
12415,2021-01-06 11:12:00,2021-11-15 14:22:00,21,313,45,124914.53
14156,2020-12-03 11:48:00,2021-11-30 10:54:00,55,361,30,117379.63
17511,2020-12-01 10:19:00,2021-12-07 10:12:00,32,370,23,91062.38
16029,2020-12-01 09:57:00,2021-11-01 10:27:00,63,335,59,81024.84
12346,2021-01-18 10:01:00,2021-01-18 10:01:00,1,0,346,77183.6
16684,2020-12-16 17:34:00,2021-12-05 14:06:00,28,353,25,66653.56
14096,2021-08-30 10:49:00,2021-12-05 17:17:00,17,97,25,65164.79
13694,2020-12-01 12:12:00,2021-12-06 09:32:00,50,369,24,65039.62
15311,2020-12-01 09:41:00,2021-12-09 12:00:00,91,373,21,60767.9
13089,2020-12-05 10:27:00,2021-12-07 09:02:00,97,366,23,58825.83
17949,2020-12-03 13:12:00,2021-12-08 18:46:00,45,370,22,58510.48
15769,2020-12-03 15:16:00,2021-12-02 13:52:00,26,363,28,56252.72
15061,2020-12-02 15:19:00,2021-12-06 12:06:00,48,368,24,54534.14
14298,2020-12-14 12:59:00,2021-12-01 13:12:00,44,352,29,51527.3
14088,2021-01-21 13:07:00,2021-11-29 16:16:00,13,312,31,50491.81
15749,2021-01-11 12:55:00,2021-04-18 13:20:00,3,97,256,44534.3
12931,2020-12-17 09:45:00,2021-11-18 12:39:00,15,336,42,42055.96
17841,2020-12-01 14:41:00,2021-12-08 12:07:00,124,371,22,40991.57
15098,2021-06-10 15:22:00,2021-06-10 15:33:00,3,0,203,39916.5
13798,2020-12-02 17:24:00,2021-12-08 15:51:00,57,370,22,37153.85
16013,2020-12-03 13:09:00,2021-12-06 10:36:00,47,367,24,37130.6
16422,2020-12-05 15:35:00,2021-11-22 14:00:00,51,351,38,34684.4
12748,2020-12-01 12:48:00,2021-12-09 12:20:00,211,372,21,33719.73
15838,2020-12-07 11:26:00,2021-11-28 14:00:00,19,356,32,33643.08
17404,2020-12-14 13:28:00,2021-12-05 16:26:00,15,356,25,31906.82
17389,2021-01-12 15:48:00,2021-12-09 09:38:00,34,330,21,31833.68
13098,2021-01-26 13:46:00,2021-12-08 14:14:00,28,316,22,28882.44
14680,2020-12-03 12:05:00,2021-11-14 16:59:00,16,346,46,28754.11
13081,2020-12-03 17:20:00,2021-11-28 10:54:00,11,359,32,28337.38
13408,2020-12-01 10:39:00,2021-12-08 09:05:00,62,371,22,28117.04
17857,2020-12-09 11:35:00,2021-12-05 13:13:00,23,361,25,26879.04
16333,2021-02-03 10:50:00,2021-12-02 12:19:00,22,302,28,26626.8
13777,2020-12-01 16:01:00,2021-12-09 12:25:00,33,372,21,25977.16
12753,2020-12-12 11:44:00,2021-11-17 10:52:00,6,339,43,21429.39
12744,2021-01-25 13:26:00,2021-10-19 11:18:00,7,266,72,21279.29
16210,2020-12-01 12:27:00,2021-12-08 12:36:00,18,372,22,21086.3
17675,2020-12-07 13:22:00,2021-12-08 18:03:00,31,366,22,20374.28
17381,2020-12-02 12:58:00,2021-12-01 11:59:00,29,363,29,20275.61
15039,2020-12-06 11:26:00,2021-11-30 11:31:00,47,359,30,19914.44
