,id_client,frequency,recency,monetary,segment,country
0,Unknown,3538,21,1755276.64,Top,United Kingdom
1,14646,74,22,280206.02,Top,Netherlands
2,18102,60,21,259657.3,Top,United Kingdom
3,17450,46,29,194550.79,Top,United Kingdom
4,16446,2,21,168472.5,High value,United Kingdom
5,14911,202,22,143825.06,Top,EIRE
6,12415,21,45,124914.53,Top,Australia
7,14156,55,30,117379.63,Top,EIRE
8,17511,32,23,91062.38,Top,United Kingdom
9,16029,63,59,81024.84,Top,United Kingdom
10,12346,1,346,77183.6,Medium Value,United Kingdom
11,16684,28,25,66653.56,Top,United Kingdom
12,14096,17,25,65164.79,Top,United Kingdom
13,13694,50,24,65039.62,Top,United Kingdom
14,15311,91,21,60767.9,Top,United Kingdom
15,13089,97,23,58825.83,Top,United Kingdom
16,17949,45,22,58510.48,Top,United Kingdom
17,15769,26,28,56252.72,Top,United Kingdom
18,15061,48,24,54534.14,Top,United Kingdom
19,14298,44,29,51527.3,Top,United Kingdom
20,14088,13,31,50491.81,Top,United Kingdom
21,15749,3,256,44534.3,Medium Value,United Kingdom
22,12931,15,42,42055.96,Top,United Kingdom
23,17841,124,22,40991.57,Top,United Kingdom
24,15098,3,203,39916.5,Medium Value,United Kingdom
25,13798,57,22,37153.85,Top,United Kingdom
26,16013,47,24,37130.6,Top,United Kingdom
27,16422,51,38,34684.4,Top,United Kingdom
28,12748,211,21,33719.73,Top,United Kingdom
29,15838,19,32,33643.08,Top,United Kingdom
30,17404,15,25,31906.82,Top,Sweden
31,17389,34,21,31833.68,Top,United Kingdom
32,13098,28,22,28882.44,Top,United Kingdom
33,14680,16,46,28754.11,Top,United Kingdom
34,13081,11,32,28337.38,Top,United Kingdom
35,13408,62,22,28117.04,Top,United Kingdom
36,17857,23,25,26879.04,Top,United Kingdom
37,16333,22,28,26626.8,Top,United Kingdom
38,13777,33,21,25977.16,Top,United Kingdom
39,12753,6,43,21429.39,High value,Japan
40,12744,7,72,21279.29,High value,Singapore
41,16210,18,22,21086.3,Top,United Kingdom
42,17675,31,22,20374.28,Top,United Kingdom
43,17381,29,29,20275.61,Top,United Kingdom
44,15039,47,30,19914.44,Top,United Kingdom
